#10000,100,,,,,,,,,,,,,,,,,,,
Index,AccelX_H,AccelX_L,AccelY_H,AccelY_L,AccelZ_H,AccelZ_L,GyroX_H,GyroX_L,GyroY_H,GyroY_L,GyroZ_H,GyroZ_L,MagX_H,MagX_L,MagY_H,MagY_L,MagZ_H,MagZ_L,Temp_H,Temp_L
131,FF,CE,FF,DA,8,18,1,A3,FF,89,FF,2C,0,0,0,0,0,0,D,A0
132,FF,C2,0,55,7,E3,0,87,0,33,0,C5,0,0,0,0,0,0,D,C0
133,0,3F,FF,98,8,23,0,D1,0,3B,0,B1,0,0,0,0,0,0,D,D0
134,FF,E3,FF,FE,7,89,0,85,0,8D,FF,35,0,0,0,0,0,0,D,C0
135,FF,8D,0,B,8,18,0,EB,0,B0,FE,90,0,0,0,0,0,0,D,90
136,FF,67,0,5F,8,95,0,B7,0,CA,FE,9D,0,0,0,0,0,0,D,E0
137,FF,4D,0,9,8,9,1,12,0,33,FE,99,0,0,0,0,0,0,D,A0
138,FF,5B,FF,EF,7,E8,0,BB,FF,45,FE,75,0,0,0,0,0,0,E,10
139,FF,9C,FF,98,7,D9,0,CC,FF,78,FE,8F,0,0,0,0,0,0,D,90
140,FE,A2,FF,11,8,5B,0,8E,FF,C2,FF,27,0,0,0,0,0,0,D,A0
141,FE,CA,FF,A,7,98,1,43,0,E6,FF,2E,0,0,0,0,0,0,D,A0
142,FD,69,FD,1E,A,3E,0,F7,FF,5C,FD,C7,0,0,0,0,0,0,D,70
143,FD,47,FC,9E,A,7F,0,E,FC,7E,FB,6E,0,0,0,0,0,0,D,A0
144,FD,67,FD,CA,7,D3,1,B6,FC,9A,FB,7C,0,0,0,0,0,0,E,10
145,FE,1D,FE,C6,7,69,2,FC,FE,14,FC,6,0,0,0,0,0,0,D,C0
146,FE,17,FF,81,8,7D,3,24,FE,4E,FC,23,0,0,0,0,0,0,D,A0
147,FE,7,0,4E,9,1D,3,1C,FD,74,FC,42,0,0,0,0,0,0,D,A0
148,FE,6D,0,C4,9,4D,2,E8,FC,35,FC,3C,0,0,0,0,0,0,E,0
149,FF,6,1,1F,8,C2,2,6C,FB,39,FB,B3,0,0,0,0,0,0,D,90
150,FF,BE,1,44,7,BF,2,15,FB,4A,FB,1E,0,0,0,0,0,0,D,A0
151,0,64,1,DC,6,CA,2,A1,FC,9,FB,75,0,0,0,0,0,0,D,C0
152,0,B4,2,76,7,6,2,48,FC,DA,FB,D9,0,0,0,0,0,0,D,E0
153,0,CE,2,B4,7,7F,1,67,FC,EE,FB,C0,0,0,0,0,0,0,D,A0
154,1,15,2,A5,7,57,0,C8,FD,3,FB,A1,0,0,0,0,0,0,D,C0
155,1,4C,2,F6,6,D4,0,E2,FD,BF,FC,18,0,0,0,0,0,0,D,50
156,1,9E,2,DB,6,D1,0,3B,FE,AE,FC,69,0,0,0,0,0,0,D,A0
157,1,CD,3,A,7,7,0,E,FF,5B,FC,E0,0,0,0,0,0,0,E,0
